inscription_id,meta_name,meta_trait,high_res_img_url,collection_page_img_url
502aa2a318cf32b4c982f7d795cfe0cc34ef56206010a8bef50066b47bd0ce59i0,100072.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
6a31ac5d096bf0142df1ca00ebe1f34c9e58bab2471bfecdd6649b5ae1f6b2aei0,100073.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
e6507fa39191ddedbe411a2134f1fa7d7574b6d3892b7d041c85b20b4a30fa46i0,100086.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
50fcec640d9dc4e815c01ba1885a272b560462368ba686a3103e80fa970f55f4i0,100100.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
6ec050b2bf2ec6088bd8901c52a547a07d1066ef211ce3fefce66b0a10278d38i0,100101.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
8c0ebc02f395f883680eb262ff4d5b2cd3c8a5dda185c2ac668c51081ea7cd76i0,100106.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
347dfac0af5fd815ac17a0781858b05861b2068af62cb446a8a22f72cc6e6407i0,100111.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
dad0d03018363ae0e1646c15a28c5008e5643abf997c271534bc19070db1ee8ei0,100114.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
70aa177d5c5f66bfbad7883bc5e3106f4e67db5a5e4b4f53fb8e9e7134d70007i0,100116.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
dc7f564e0a668d512d42d6903fb3f386808a842ccb19fb3664d22912b3618e0fi0,100120.bitnats,0x14,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x14.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
cf98306a5eca7ac3069d5a656974c55ecc283847aab49f452f44fb5df682b760i0,100126.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
e0d25589b9fea7d093351b561f1a92ac3a518d6e7eb22bb3a385214d4d7efe28i0,100136.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
cdea53cf0daafc81d7bacab888376754620a0c81cdb5462efac1f60681d26407i0,100140.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
0e53a23bdbb6c2083a0724a15504dcfcfdacea17f908074e06ae9cba04a0b5bei0,100142.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
2a75332da27ee0ad934c1b2e685a21497e3a5bc4f757f29cc3043c6a31961badi0,100159.bitnats,0x12,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x12.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
250e6d25328e467ee54fa0fa9c98d646e2f11d80df7b0da9e9e8efa9b55679cdi0,100160.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
d02b4a63d2a3bb7adac8505bdcad1c332b06a75943189ca34e4f0e47873455c5i0,100161.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
3ffa24fcac26faf2a0587da52a094a42c789aeb6120b6c347069ec8f0715299ei0,100162.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
0539daaf351c323497b6eef07976a1443910178a770299b79822bece00b27ba9i0,100163.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
0ab2aa6575431d506e1bd671e70c71f2825201d4a62d93e747aa38c3e1226906i0,100164.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
52c63b3e318c05bd59e6bc20ca289d6d570952d2ffb4ec8edf2eebcc27410492i0,100165.bitnats,0x12,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x12.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
3ca0b6f9ff0e67b38f9795b7194ef227ee35510c07ee394ad5bfd87e59bf0350i0,100166.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
0999439693a5abaa995557b03d9b30a3f27da17b36156c52a6380b0bfc011a1ai0,100167.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
c7d1d5a615eb2e9983a53f8554b847654fae0a6ff26394788ecc49aa0cd038a3i0,100168.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
73a0a2467ee85d60bb53ac1092b69fe701266821f046dad90f20fa8113b6e8c3i0,100169.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
8d3e45507600e96730d5367044f9b9d64717ff1834183b407050186d020eff53i0,100170.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
7e0aad707ffe5271e917ab67ef60cd8b725ede4a7562dedec2ca5d0d61ca03e9i0,100171.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
0349f2a3f258cfab325dd2abb2a890316a6d0eae3fe2f60cd138e4d6f47b0422i0,100172.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
